source_id,ra,dec,pmra,pmdec,parallax_error,phot_g_n_obs,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
2057317823303599488,304.6574584196193,35.45007844610963,NULL,NULL,NULL,176,20.638447,NULL,NULL
2057318407419285376,304.2785473803783,35.182841537450976,NULL,NULL,NULL,52,21.118795,NULL,NULL
2057320125405641600,304.25638660233517,35.25637047691065,NULL,NULL,NULL,72,21.043997,NULL,NULL
2057323080352318976,304.1777573232751,35.29857570834793,NULL,NULL,NULL,0,NULL,NULL,18.560274
2057323389580877952,304.2656437141099,35.329625333595416,NULL,NULL,NULL,52,21.039341,NULL,NULL
2057323664460122880,304.2293426909869,35.3558757591647,NULL,NULL,NULL,44,21.225037,NULL,NULL
2057324725319402880,304.1754566011155,35.38072166961884,NULL,NULL,NULL,38,21.065222,NULL,20.16768
2057325073208126464,304.25315856488237,35.35985458508446,NULL,NULL,NULL,85,20.65058,NULL,NULL
2057325171996023296,304.25774021485495,35.38328333771622,NULL,NULL,NULL,0,NULL,NULL,19.399937
2057325348086533504,304.32759473307,35.37289893533566,NULL,NULL,NULL,0,NULL,NULL,19.623247
2057325554245176448,304.3273069421471,35.412888585193095,NULL,NULL,NULL,93,21.07117,NULL,19.434978
2057326069640567040,304.2689030966902,35.40229539215426,NULL,NULL,NULL,80,20.770744,NULL,NULL
2057326138360082816,304.263690050695,35.42108298411385,NULL,NULL,NULL,97,20.840515,NULL,NULL
2057326821263661312,304.2466715220588,35.46878503868995,NULL,NULL,NULL,67,21.13323,NULL,NULL
2057327066081722496,304.44638690810893,35.34629661200226,NULL,NULL,NULL,36,18.444244,NULL,NULL
2057327203511489536,304.463941179493,35.365524408844536,NULL,NULL,NULL,97,20.975285,NULL,NULL
2057327650188868352,304.49028779563196,35.39684588434603,NULL,NULL,NULL,48,21.208206,NULL,NULL
2057329127657067904,304.4405725652639,35.48150436809129,NULL,NULL,NULL,82,20.924553,NULL,NULL
2057329299456990336,304.5387311633618,35.43828521332388,NULL,NULL,NULL,83,20.936192,NULL,NULL
2057329608694493056,304.5386486124316,35.47237130629218,NULL,NULL,NULL,100,21.002823,NULL,NULL
2057330089730310784,304.54751304747424,35.505318377797956,NULL,NULL,NULL,87,19.256033,NULL,NULL
2057331292321193088,304.55073237029666,35.567318280906335,NULL,NULL,NULL,80,20.74431,NULL,NULL
2057331498479714816,304.36961238218413,35.44736183616476,NULL,NULL,NULL,103,20.96012,NULL,NULL
2057333525704386688,304.35211153572607,35.575519592952034,NULL,NULL,NULL,103,21.072857,NULL,NULL
2057333834941899136,304.48383087283673,35.56037220040414,NULL,NULL,NULL,62,21.071306,NULL,NULL
2057334522136717952,304.4743931010106,35.61491643784697,NULL,NULL,NULL,110,20.814161,NULL,NULL
2057334625216153216,304.48139008059024,35.62079529955442,NULL,NULL,NULL,105,20.887539,NULL,NULL
2057334659575665152,304.4890101903861,35.62510325297617,NULL,NULL,NULL,70,20.827852,NULL,NULL
2057335312411079168,304.44334363274226,35.62050745693741,NULL,NULL,NULL,0,NULL,NULL,19.179531
2057336205764753920,304.7990848393692,35.37337947203948,NULL,NULL,NULL,146,20.593485,NULL,NULL
2057336648148986368,304.83669939629164,35.4068937119191,NULL,NULL,NULL,52,21.034681,NULL,19.578064
