source_id,ra,dec,pmra,pmdec,parallax_error,phot_g_n_obs,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
2056350802833603968,306.94865364224535,34.62952113335064,NULL,NULL,NULL,38,21.095793,NULL,NULL
2056351627466367616,306.9619202655991,34.70707888789269,NULL,NULL,NULL,52,21.064234,NULL,NULL
2056353242367806592,307.01001482462425,34.73666907325475,NULL,NULL,NULL,140,20.212303,NULL,NULL
2056353379806715392,307.0440581756036,34.734062925314795,NULL,NULL,NULL,75,20.236372,NULL,NULL
2056353792128002304,307.0464329377784,34.77959041275143,NULL,NULL,NULL,85,20.944221,NULL,NULL
2056354307524128384,306.9319810545121,34.78981433499447,NULL,NULL,NULL,0,NULL,NULL,19.728558
2056354719839648512,307.0212313665172,34.82296781415893,NULL,NULL,NULL,123,20.808338,21.219744,NULL
2056355097797849216,306.81371808622504,34.70269457902674,NULL,NULL,NULL,67,21.096706,NULL,20.135506
2056357193740794624,306.82404490265066,34.843539860326935,NULL,NULL,NULL,130,20.955175,NULL,NULL
2056357365542683136,306.9438891202464,34.808348131544996,NULL,NULL,NULL,0,NULL,NULL,19.72075
2056358602490099072,306.85273798167464,34.85496316271491,NULL,NULL,NULL,77,20.906607,NULL,NULL
2056359495848582528,307.08199582906593,34.79671284521803,NULL,NULL,NULL,124,20.545778,NULL,NULL
2056360526638834176,307.0475229508407,34.83424404983471,NULL,NULL,NULL,112,20.86811,NULL,NULL
2056360698438506112,307.08100652818877,34.868688738556926,NULL,NULL,NULL,0,NULL,NULL,19.872713
2056361316914758272,307.1049720797077,34.920932091074164,NULL,NULL,NULL,141,20.234299,NULL,NULL
2056362897460516736,307.1652198595366,34.948191861937374,NULL,NULL,NULL,50,21.070509,NULL,NULL
2056365062121083520,306.9730909049218,34.93873757707079,NULL,NULL,NULL,76,20.87295,NULL,NULL
2056366230355581952,307.10199966797956,35.001850340920484,NULL,NULL,NULL,58,21.009792,NULL,NULL
2056366264716288000,307.1140968446391,35.00535301895473,NULL,NULL,NULL,0,NULL,NULL,19.84467
2056368395019637248,306.76746404426063,34.82044731311481,NULL,NULL,NULL,49,21.034788,NULL,NULL
2056369803766244736,306.6842433578608,34.88694559335049,NULL,NULL,NULL,78,20.972872,NULL,NULL
2056370490962789248,306.8160193131849,34.88082633155461,NULL,NULL,NULL,41,21.087759,NULL,20.078806
2056370628398604160,306.8312811842008,34.90351038582492,NULL,NULL,NULL,169,20.573174,NULL,NULL
2056371453035017856,306.8683166558071,34.97599741265107,NULL,NULL,NULL,0,NULL,NULL,19.455593
2056372689980532992,306.64629773950094,34.88342697723954,NULL,NULL,NULL,104,20.827398,NULL,NULL
2056373445894797440,306.6727813881495,34.93412977188731,NULL,NULL,NULL,131,20.600374,NULL,NULL
2056374236174333312,306.5980853131287,34.9893950736171,NULL,NULL,NULL,86,20.898733,NULL,18.370451
2056376091600172032,306.7303651927803,35.04368355222133,NULL,NULL,NULL,105,20.811148,NULL,NULL
2056376744434765824,306.71840323438977,35.087324722128855,NULL,NULL,NULL,0,NULL,NULL,19.854816
2056376778794099840,306.73471211022445,35.08798668477747,NULL,NULL,NULL,0,NULL,NULL,20.132702
2056377878308809216,306.9505871540435,35.05077030631948,NULL,NULL,NULL,92,20.858395,NULL,NULL
2056380661443849216,306.9212229185843,35.132269928102744,NULL,NULL,NULL,52,21.011831,NULL,NULL
2056381760951506560,306.7936948991398,35.09781944892334,NULL,NULL,NULL,93,20.007526,NULL,NULL
